ticker,issuer_name
20MICRONS,20 Microns Ltd (EQ20MICRONS)
21STCENMGM,Twentyfirst Century Management Services Ltd. (EQ21STCENMGM)
3IINFOTECH,3i Infotech Ltd. (EQ3IINFOTECH)
3MINDIA,3M India Ltd. (EQ3MINDIA)
3PLAND,3P Land Holdings Ltd. (EQ3PLAND)
5PAISA,5paisa Capital Ltd. (EQ5PAISA)
63MOONS,63 Moons Technologies Ltd. (EQ63MOONS)
A2ZINFRA,A2Z Infra Engineering Ltd. (EQA2ZINFRA)
AAKASH,Aakash Exploration Services Ltd. (EQAAKASH)
AARON,Aaron Industries Ltd. (EQAARON)
AARTIDRUGS,Aarti Drugs Ltd. (EQAARTIDRUGS)
AARTIIND,Aarti Industries Ltd. (EQAARTIIND)
AARTISURF,Aarti Surfactants Ltd. (EQAARTISURF)
AARVEEDEN,Aarvee Denims & Exports Ltd (EQAARVEEDEN)
AARVI,Aarvi Encon Ltd. (EQAARVI)
AAVAS,Aavas Financiers Ltd (EQAAVAS)
ABAN,Aban Offshore Ltd. (EQABAN)
ABB,ABB India Ltd (EQABB)
ABBOTINDIA,Abbott India Ltd. (EQABBOTINDIA)
ABCAPITAL,Aditya Birla Capital Ltd. (EQABCAPITAL)
ABCIL,Aditya Birla Chemicals (India) Ltd (EQABCIL)
ABFRL,Aditya Birla Fashion & Retail Ltd. (EQABFRL)
ABFRL_RE,Aditya Birla Fashion & Retail Ltd. (EQABFRL-RE)
ABGSHIP,ABG Shipyard Ltd. (EQABGSHIP)
ABHISHEK,Abhishek Corporation Ltd (EQABHISHEK)
ABIRLANUVO,Aditya Birla Nuvo Ltd. (EQABIRLANUVO)
ABMINTLTD,ABM International Ltd. (EQABMINTLTD)
ABSLBANETF,Aditya Birla Sun Life AMC Ltd. (EQABSLBANETF)
ABSLNN50ET,Aditya Birla Sun Life AMC Ltd. (EQABSLNN50ET)
ACC,ACC Ltd (EQACC)
ACCELYA,Accelya Solutions India Ltd. (EQACCELYA)
ACCURACY,Accuracy Shipping Ltd. (EQACCURACY)
ACE,Action Construction Equipment Ltd. (EQACE)
ACROPETAL,Acropetal Technologies Ltd (EQACROPETAL)
ACRYSIL,Acrysil Ltd. (EQACRYSIL)
ADANIENT,Adani Enterprises Ltd (EQADANIENT)
ADANIGREEN,Adani Green Energy Ltd. (EQADANIGREEN)
ADANIPORTS,Adani Ports & Special Economic Zone Ltd (EQADANIPORTS)
ADANIPOWER,Adani Power Limited (EQADANIPOWER)
ADANITRANS,Adani Transmission Ltd (EQADANITRANS)
ADFFOODS,ADF Foods Ltd. (EQADFFOODS)
ADHUNIK,Adhunik Metaliks Ltd. (EQADHUNIK)
ADHUNIKIND,Adhunik Industries Ltd. (EQADHUNIKIND)
ADL,Archidply Decor Ltd (EQADL)
ADORWELD,Ador Welding Ltd. (EQADORWELD)
ADROITINFO,Adroit Infotech Ltd. (EQADROITINFO)
ADSL,Allied Digital Services Ltd. (EQADSL)
ADVANIHOTR,Advani Hotels & Resorts (India) Ltd. (EQADVANIHOTR)
ADVANTA,Advanta Ltd. (EQADVANTA)
ADVENZYMES,Advanced Enzyme Technologies Ltd (EQADVENZYMES)
AEGISCHEM,Aegis Logistics Ltd. (EQAEGISCHEM)
AFFLE,Affle (India) Ltd. (EQAFFLE)
AFL_RE,Arvind Fashions Ltd. (EQAFL-RE)
AFTEK,Aftek Ltd (EQAFTEK)
AGARIND,Agarwal Industrial Corporation Ltd (EQAGARIND)
AGCNET,AGC Networks Ltd. (EQAGCNET)
AGLSL,Artemis Global Life Science Ltd. (EQAGLSL)
AGRITECH,Agri-Tech (India) Ltd. (EQAGRITECH)
AGRODUTCH,Agro Dutch Industries Ltd. (EQAGRODUTCH)
AGROPHOS,Agro Phos India Ltd. (EQAGROPHOS)
AHLADA,Ahlada Engineers Ltd. (EQAHLADA)
AHLEAST,Asian Hotels (East) Ltd (EQAHLEAST)
AHLUCONT,Ahluwalia Contracts (India) Ltd. (EQAHLUCONT)
AHLWEST,Asian Hotels (West) Ltd (EQAHLWEST)
AIAENG,AIA Engineering Ltd. (EQAIAENG)
AICHAMP,AI Champdany Industries Ltd. (EQAICHAMP)
AIFL,Ashapura Intimates Fashion Ltd (EQAIFL)
AIONJSW,JSW Ispat Special Products Ltd. (EQAIONJSW)
AIRAN,Airan Ltd (EQAIRAN)
AJANTPHARM,Ajanta Pharma Ltd. (EQAJANTPHARM)
AJMERA,Ajmera Realty & Infra India Ltd (EQAJMERA)
AKASH,Akash Infra-Projects Ltd (EQAKASH)
AKG,AKG Exim Ltd. (EQAKG)
AKSHARCHEM,AksharChem (India) Ltd. (EQAKSHARCHEM)
AKSHOPTFBR,Aksh Optifibre Ltd. (EQAKSHOPTFBR)
AKZOINDIA,Akzo Nobel India Ltd. (EQAKZOINDIA)
ALANKIT,Alankit Ltd. (EQALANKIT)
ALBERTDAVD,Albert David Ltd. (EQALBERTDAVD)
ALBK,Allahabad Bank (EQALBK)
ALCHEM,Alchemist Ltd. (EQALCHEM)
ALEMBICLTD,Alembic Ltd. (EQALEMBICLTD)
ALFALAVAL,Alfa Laval (India) Ltd. (EQALFALAVAL)
ALICON,Alicon Castalloy Ltd (EQALICON)
ALKALI,Alkali Metals Ltd (EQALKALI)
ALKEM,Alkem Laboratories Limited (EQALKEM)
