code,name,description,refreshed_at,from_date,to_date
BOM500002,ABB India Limited EOD Prices,End of Day prices and additional trading information for ABB India Limited EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500003,AEGIS LOGISTICS LTD. EOD Prices,End of Day prices and additional trading information for AEGIS LOGISTICS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500008,AMARA RAJA BATTERIES LTD. EOD Prices,End of Day prices and additional trading information for AMARA RAJA BATTERIES LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500009,AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices,End of Day prices and additional trading information for AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500010,HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices,End of Day prices and additional trading information for HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices.,14-05-2021 14:18,03-01-1992,14-05-2021
BOM500012,ANDHRA PETROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for ANDHRA PETROCHEMICALS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices,End of Day prices and additional trading information for ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500014,Utique Enterprises Ltd EOD Prices,End of Day prices and additional trading information for Utique Enterprises Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500016,ARUNA HOTELS LTD. EOD Prices,End of Day prices and additional trading information for ARUNA HOTELS LTD. EOD Prices.,14-05-2021 14:19,16-03-2020,14-05-2021
BOM500020,BOMBAY DYEING & MFG.CO.LTD. EOD Prices,End of Day prices and additional trading information for BOMBAY DYEING & MFG.CO.LTD. EOD Prices.,14-05-2021 14:18,02-01-1991,14-05-2021
BOM500023,Asian Hotels (North) Limited EOD Prices,End of Day prices and additional trading information for Asian Hotels (North) Limited EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500024,Assam Company (India) Limited EOD Prices,End of Day prices and additional trading information for Assam Company (India) Limited EOD Prices.,14-05-2021 14:18,02-03-1992,29-10-2019
BOM500027,ATUL LTD. EOD Prices,End of Day prices and additional trading information for ATUL LTD. EOD Prices.,14-05-2021 14:18,03-03-1992,14-05-2021
BOM500028,ATV PROJECTS INDIA LTD. EOD Prices,End of Day prices and additional trading information for ATV PROJECTS INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500029,AUTOLITE (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for AUTOLITE (INDIA) LTD. EOD Prices.,14-05-2021 14:18,03-03-1992,10-05-2021
BOM500030,AUTORIDERS FINANCE LTD. EOD Prices,End of Day prices and additional trading information for AUTORIDERS FINANCE LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,01-06-2020
BOM500031,BAJAJ ELECTRICALS LTD.-$ EOD Prices,End of Day prices and additional trading information for BAJAJ ELECTRICALS LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500032,Bajaj Hindusthan Sugar Limited EOD Prices,End of Day prices and additional trading information for Bajaj Hindusthan Sugar Limited EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500033,FORCE MOTORS LTD.-$ EOD Prices,End of Day prices and additional trading information for FORCE MOTORS LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500034,Bajaj Finance Limited EOD Prices,End of Day prices and additional trading information for Bajaj Finance Limited EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500038,BALRAMPUR CHINI MILLS LTD. EOD Prices,End of Day prices and additional trading information for BALRAMPUR CHINI MILLS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500039,BANCO PRODUCTS (INDIA) LTD.-$ EOD Prices,End of Day prices and additional trading information for BANCO PRODUCTS (INDIA) LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500040,CENTURY TEXTILES & INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for CENTURY TEXTILES & INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,03-01-1991,14-05-2021
BOM500041,BANNARI AMMAN SUGARS LTD. EOD Prices,End of Day prices and additional trading information for BANNARI AMMAN SUGARS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500042,BASF INDIA LTD. EOD Prices,End of Day prices and additional trading information for BASF INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500043,BATA INDIA LTD. EOD Prices,End of Day prices and additional trading information for BATA INDIA LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
